# Region type : faceZone fz_solid_40
# Faces  :    1654
# Area   :    1.016945e-01
# Time        	sum(phi)
20            	3.013596e-05
40            	1.790343e-05
60            	9.948793e-06
80            	6.072082e-06
100           	4.596182e-06
120           	4.513626e-06
140           	5.096508e-06
160           	5.836464e-06
180           	7.093949e-06
200           	8.661296e-06
220           	1.023090e-05
240           	1.179853e-05
260           	1.361606e-05
280           	1.542200e-05
300           	1.719140e-05
320           	1.884093e-05
340           	2.052420e-05
360           	2.228048e-05
380           	2.426412e-05
400           	2.642753e-05
420           	2.868766e-05
440           	3.088864e-05
460           	3.285249e-05
480           	3.426682e-05
500           	3.479986e-05
520           	3.464781e-05
540           	3.390748e-05
560           	3.258181e-05
580           	3.115327e-05
600           	2.954444e-05
620           	2.744653e-05
640           	2.507605e-05
660           	2.251250e-05
680           	1.975835e-05
700           	1.661061e-05
720           	1.281947e-05
740           	8.356395e-06
760           	3.068304e-06
780           	-3.037283e-06
800           	-1.033880e-05
820           	-1.871312e-05
840           	-2.773860e-05
860           	-3.629157e-05
880           	-4.307213e-05
900           	-4.735410e-05
920           	-4.923071e-05
940           	-4.933263e-05
960           	-4.836538e-05
980           	-4.701186e-05
1000          	-4.572682e-05
1020          	-4.469783e-05
