# Region      : cellZone cz_solid_32
# Cells       : 2268
# Volume      : 2.144904e-03
# Time        	volIntegrate(U)
20            	(2.092677e-09 -1.054908e-08 5.370962e-09)
40            	(2.114844e-09 -1.893546e-08 5.682928e-09)
60            	(2.093882e-09 -2.679478e-08 6.069312e-09)
80            	(2.013478e-09 -3.398241e-08 6.384773e-09)
100           	(1.836988e-09 -4.054859e-08 6.586349e-09)
120           	(1.519253e-09 -4.650138e-08 6.620678e-09)
140           	(6.733976e-10 -5.138367e-08 6.075413e-09)
160           	(3.682936e-11 -5.541884e-08 5.617241e-09)
180           	(-7.875034e-10 -5.819502e-08 4.630566e-09)
200           	(-1.590638e-09 -5.939948e-08 3.203480e-09)
220           	(-2.077907e-09 -5.905913e-08 1.497657e-09)
240           	(-2.052396e-09 -5.785242e-08 -7.884450e-11)
260           	(-1.715727e-09 -5.672265e-08 -1.174340e-09)
280           	(-1.350513e-09 -5.625808e-08 -1.796258e-09)
300           	(-1.046697e-09 -5.663483e-08 -2.095617e-09)
320           	(-8.005863e-10 -5.779021e-08 -2.183651e-09)
340           	(-5.972696e-10 -5.954817e-08 -2.129635e-09)
360           	(-4.296566e-10 -6.170748e-08 -1.980193e-09)
380           	(-2.932564e-10 -6.408612e-08 -1.772798e-09)
400           	(-1.840029e-10 -6.653476e-08 -1.539632e-09)
420           	(-9.652122e-11 -6.893845e-08 -1.304066e-09)
440           	(-2.416260e-11 -7.121651e-08 -1.079106e-09)
460           	(3.896754e-11 -7.331707e-08 -8.717961e-10)
480           	(9.776323e-11 -7.521258e-08 -6.848120e-10)
500           	(1.557668e-10 -7.689646e-08 -5.166175e-10)
520           	(2.158884e-10 -7.837721e-08 -3.625779e-10)
540           	(2.793242e-10 -7.967208e-08 -2.176492e-10)
560           	(3.461591e-10 -8.080062e-08 -7.635308e-11)
580           	(4.153968e-10 -8.178113e-08 6.696183e-11)
600           	(4.834739e-10 -8.262778e-08 2.148153e-10)
620           	(5.472811e-10 -8.334995e-08 3.683706e-10)
640           	(6.026071e-10 -8.394842e-08 5.248376e-10)
660           	(6.424278e-10 -8.442158e-08 6.786602e-10)
680           	(6.571149e-10 -8.477234e-08 8.235189e-10)
700           	(6.410160e-10 -8.500701e-08 9.527607e-10)
720           	(5.984048e-10 -8.513035e-08 1.058736e-09)
740           	(5.427354e-10 -8.515248e-08 1.133869e-09)
760           	(4.890338e-10 -8.510083e-08 1.177560e-09)
780           	(4.466803e-10 -8.501688e-08 1.195728e-09)
800           	(4.172860e-10 -8.494039e-08 1.195149e-09)
820           	(3.994578e-10 -8.490325e-08 1.181368e-09)
840           	(3.899909e-10 -8.492403e-08 1.159393e-09)
860           	(3.856745e-10 -8.500651e-08 1.133573e-09)
880           	(3.840194e-10 -8.514626e-08 1.106184e-09)
900           	(3.837971e-10 -8.533372e-08 1.078282e-09)
920           	(3.843713e-10 -8.555623e-08 1.050383e-09)
940           	(3.854265e-10 -8.580164e-08 1.022931e-09)
960           	(3.868290e-10 -8.606178e-08 9.962897e-10)
980           	(3.882270e-10 -8.633286e-08 9.691401e-10)
