# Region type : faceZone fz_solid_38
# Faces  :    1694
# Area   :    1.016330e-01
# Time        	sum(phi)
20            	7.625228e-06
40            	-8.441775e-07
60            	-6.651583e-06
80            	-8.328678e-06
100           	-7.327398e-06
120           	-4.875205e-06
140           	-2.594528e-06
160           	9.635399e-07
180           	4.292544e-06
200           	7.126068e-06
220           	9.464612e-06
240           	1.127232e-05
260           	1.260238e-05
280           	1.357973e-05
300           	1.421681e-05
320           	1.460813e-05
340           	1.472178e-05
360           	1.455435e-05
380           	1.411496e-05
400           	1.339281e-05
420           	1.255018e-05
440           	1.192752e-05
460           	1.177970e-05
480           	1.201976e-05
500           	1.241287e-05
520           	1.275066e-05
540           	1.298630e-05
560           	1.311499e-05
580           	1.320694e-05
600           	1.332031e-05
620           	1.349281e-05
640           	1.372283e-05
