# Region      : cellZone cz_solid_93
# Cells       : 1800
# Volume      : 2.142416e-03
# Time        	volIntegrateU
20            	5.216105e-09 -4.299074e-09 2.596378e-09
40            	6.137257e-09 -7.984896e-09 4.234578e-09
60            	6.665387e-09 -1.116400e-08 5.542030e-09
80            	6.354654e-09 -1.336210e-08 6.396753e-09
100           	5.237187e-09 -1.492009e-08 6.337759e-09
120           	3.808738e-09 -1.689491e-08 5.140709e-09
140           	-5.002687e-10 -1.838308e-08 2.629304e-09
160           	-2.292290e-09 -2.092826e-08 -3.290001e-10
180           	-3.151953e-09 -2.387874e-08 -3.568771e-09
200           	-2.670731e-09 -2.730897e-08 -5.569075e-09
220           	-1.893405e-09 -3.157521e-08 -5.963224e-09
240           	-1.371111e-09 -3.642973e-08 -5.537750e-09
260           	-1.047648e-09 -4.134222e-08 -4.998939e-09
280           	-8.275080e-10 -4.597311e-08 -4.557489e-09
300           	-6.727670e-10 -5.017652e-08 -4.214208e-09
320           	-5.656701e-10 -5.389029e-08 -3.948941e-09
340           	-4.970540e-10 -5.707371e-08 -3.743547e-09
360           	-4.565890e-10 -5.972936e-08 -3.578277e-09
380           	-4.350314e-10 -6.190847e-08 -3.440933e-09
400           	-4.247624e-10 -6.367725e-08 -3.324613e-09
420           	-4.220673e-10 -6.509860e-08 -3.225283e-09
440           	-4.226884e-10 -6.623105e-08 -3.141198e-09
460           	-4.216936e-10 -6.713150e-08 -3.069610e-09
480           	-4.129165e-10 -6.785118e-08 -3.008634e-09
500           	-3.913540e-10 -6.843371e-08 -2.958295e-09
520           	-3.527069e-10 -6.891197e-08 -2.920952e-09
540           	-3.033589e-10 -6.931511e-08 -2.892885e-09
560           	-2.535142e-10 -6.964219e-08 -2.876621e-09
580           	-2.063002e-10 -6.987849e-08 -2.866483e-09
600           	-1.686904e-10 -7.002253e-08 -2.850014e-09
620           	-1.603388e-10 -7.008468e-08 -2.822881e-09
640           	-1.820840e-10 -7.004120e-08 -2.800931e-09
660           	-2.216248e-10 -6.988032e-08 -2.778203e-09
680           	-2.675444e-10 -6.962704e-08 -2.751699e-09
700           	-3.168976e-10 -6.932383e-08 -2.720953e-09
720           	-3.676105e-10 -6.900331e-08 -2.692426e-09
740           	-4.165464e-10 -6.868582e-08 -2.668202e-09
760           	-4.620780e-10 -6.838339e-08 -2.646681e-09
780           	-5.039755e-10 -6.810078e-08 -2.627279e-09
800           	-5.420778e-10 -6.783629e-08 -2.609457e-09
820           	-5.764805e-10 -6.758573e-08 -2.592936e-09
840           	-6.068449e-10 -6.734549e-08 -2.577209e-09
860           	-6.329152e-10 -6.711284e-08 -2.562156e-09
880           	-6.546131e-10 -6.688541e-08 -2.547932e-09
900           	-6.721257e-10 -6.666059e-08 -2.534746e-09
920           	-6.857799e-10 -6.643535e-08 -2.522578e-09
940           	-6.959681e-10 -6.620818e-08 -2.511370e-09
960           	-7.033050e-10 -6.597961e-08 -2.501357e-09
980           	-7.086048e-10 -6.575425e-08 -2.493011e-09
1000          	-7.128516e-10 -6.554507e-08 -2.485430e-09
1020          	-7.177916e-10 -6.537122e-08 -2.476448e-09
