# Region type : faceZone fz_solid_69
# Faces  :    1693
# Area   :    1.017241e-01
# Time        	sum(phi)
20            	-1.665958e-07
40            	6.095256e-06
60            	1.209891e-05
80            	1.745784e-05
100           	2.120205e-05
120           	2.362302e-05
140           	2.654319e-05
160           	1.939753e-05
180           	3.339897e-06
200           	-2.810708e-05
220           	-7.161747e-05
240           	-1.200951e-04
260           	-1.688096e-04
280           	-2.104459e-04
300           	-2.364204e-04
320           	-2.509709e-04
340           	-2.615616e-04
360           	-2.696714e-04
380           	-2.759028e-04
400           	-2.816026e-04
420           	-2.879147e-04
440           	-2.955443e-04
460           	-3.036325e-04
480           	-3.113317e-04
500           	-3.182674e-04
520           	-3.244411e-04
540           	-3.301279e-04
560           	-3.356430e-04
580           	-3.411978e-04
600           	-3.468828e-04
620           	-3.528764e-04
640           	-3.593006e-04
660           	-3.662351e-04
680           	-3.737815e-04
700           	-3.819454e-04
720           	-3.907435e-04
740           	-3.997964e-04
760           	-4.083708e-04
780           	-4.160759e-04
800           	-4.230755e-04
820           	-4.297231e-04
840           	-4.362738e-04
860           	-4.427206e-04
880           	-4.490652e-04
900           	-4.552010e-04
