# Region type : faceZone fz_solid_65
# Faces  :    1718
# Area   :    1.017721e-01
# Time        	sum(phi)
20            	-1.785628e-05
40            	-2.186166e-05
60            	-2.961348e-05
80            	-3.884071e-05
100           	-4.898513e-05
120           	-6.031290e-05
140           	-7.353507e-05
160           	-9.597151e-05
180           	-1.165693e-04
200           	-1.429282e-04
220           	-1.766913e-04
240           	-2.194339e-04
260           	-2.699320e-04
280           	-3.263866e-04
300           	-3.881328e-04
320           	-4.560305e-04
340           	-5.237553e-04
360           	-5.780959e-04
380           	-6.125713e-04
400           	-6.271583e-04
420           	-6.245617e-04
440           	-6.139373e-04
460           	-6.037749e-04
480           	-5.979357e-04
500           	-5.973854e-04
520           	-6.014959e-04
540           	-6.091750e-04
560           	-6.190050e-04
580           	-6.298117e-04
600           	-6.407117e-04
620           	-6.512824e-04
640           	-6.614055e-04
660           	-6.710037e-04
680           	-6.803761e-04
700           	-6.895331e-04
720           	-6.987446e-04
740           	-7.079998e-04
760           	-7.171217e-04
780           	-7.261773e-04
800           	-7.349424e-04
820           	-7.433936e-04
840           	-7.512770e-04
860           	-7.584324e-04
880           	-7.649405e-04
900           	-7.709640e-04
920           	-7.765904e-04
940           	-7.818759e-04
960           	-7.868940e-04
980           	-7.916970e-04
1000          	-7.963245e-04
1020          	-8.007911e-04
