# Region      : cellZone cz_solid_52
# Cells       : 2149
# Volume      : 2.144789e-03
# Time        	volIntegrate(U)
20            	(1.071490e-09 -6.840134e-09 1.873861e-09)
40            	(1.152000e-09 -1.200024e-08 2.481802e-09)
60            	(1.197324e-09 -1.685694e-08 3.008096e-09)
80            	(1.162333e-09 -2.159609e-08 3.432565e-09)
100           	(1.004009e-09 -2.627988e-08 3.696222e-09)
120           	(6.689968e-10 -3.088892e-08 3.734600e-09)
140           	(-3.541502e-10 -3.510153e-08 3.193717e-09)
160           	(-9.163745e-10 -3.856740e-08 2.623105e-09)
180           	(-1.717049e-09 -4.089746e-08 1.468077e-09)
200           	(-2.212518e-09 -4.212654e-08 -5.689539e-12)
220           	(-2.104967e-09 -4.286528e-08 -1.332711e-09)
240           	(-1.628426e-09 -4.377588e-08 -2.122520e-09)
260           	(-1.155892e-09 -4.513171e-08 -2.434632e-09)
280           	(-8.007135e-10 -4.690334e-08 -2.476431e-09)
300           	(-5.442100e-10 -4.890213e-08 -2.381730e-09)
320           	(-3.543779e-10 -5.091312e-08 -2.209535e-09)
340           	(-2.173631e-10 -5.277958e-08 -1.991862e-09)
360           	(-1.240577e-10 -5.441158e-08 -1.755490e-09)
380           	(-6.180363e-11 -5.577051e-08 -1.522659e-09)
400           	(-1.827905e-11 -5.685153e-08 -1.309481e-09)
420           	(1.432300e-11 -5.766906e-08 -1.122661e-09)
440           	(4.075143e-11 -5.824736e-08 -9.636276e-10)
460           	(6.397289e-11 -5.861503e-08 -8.310567e-10)
480           	(8.587432e-11 -5.880229e-08 -7.211204e-10)
500           	(1.076213e-10 -5.883823e-08 -6.285544e-10)
520           	(1.299295e-10 -5.874900e-08 -5.480625e-10)
540           	(1.536772e-10 -5.855713e-08 -4.747650e-10)
560           	(1.793751e-10 -5.828103e-08 -4.035920e-10)
580           	(2.069881e-10 -5.793547e-08 -3.301200e-10)
600           	(2.347838e-10 -5.752983e-08 -2.514746e-10)
620           	(2.604959e-10 -5.706742e-08 -1.670361e-10)
640           	(2.804726e-10 -5.654277e-08 -7.946298e-11)
660           	(2.908089e-10 -5.593935e-08 5.712745e-12)
680           	(2.872567e-10 -5.522948e-08 7.958577e-11)
700           	(2.711750e-10 -5.438766e-08 1.322973e-10)
720           	(2.502315e-10 -5.341348e-08 1.621112e-10)
740           	(2.314624e-10 -5.233469e-08 1.768131e-10)
760           	(2.152153e-10 -5.118662e-08 1.826617e-10)
780           	(2.021077e-10 -4.999893e-08 1.826103e-10)
800           	(1.925265e-10 -4.879485e-08 1.784157e-10)
820           	(1.858372e-10 -4.759087e-08 1.719118e-10)
840           	(1.811748e-10 -4.639655e-08 1.636066e-10)
860           	(1.782126e-10 -4.521681e-08 1.546714e-10)
880           	(1.762899e-10 -4.405303e-08 1.457356e-10)
900           	(1.750774e-10 -4.290446e-08 1.369884e-10)
920           	(1.742663e-10 -4.176959e-08 1.286873e-10)
940           	(1.736160e-10 -4.064667e-08 1.210504e-10)
960           	(1.729192e-10 -3.953356e-08 1.143035e-10)
980           	(1.719966e-10 -3.842807e-08 1.082105e-10)
1000          	(1.706558e-10 -3.732837e-08 1.021583e-10)
1020          	(1.688540e-10 -3.623309e-08 9.593392e-11)
1040          	(1.667543e-10 -3.514141e-08 8.974520e-11)
