# Region type : faceZone fz_solid_23
# Faces  :    1718
# Area   :    1.016547e-01
# Time        	sum(phi)
20            	2.154485e-05
40            	2.063556e-05
60            	1.834188e-05
80            	1.861979e-05
100           	2.054678e-05
120           	2.350601e-05
140           	2.689670e-05
160           	3.339802e-05
180           	4.054643e-05
200           	5.080352e-05
220           	6.519865e-05
240           	8.507273e-05
260           	1.117116e-04
280           	1.459034e-04
300           	1.887630e-04
320           	2.416396e-04
340           	3.046332e-04
360           	3.746575e-04
380           	4.339239e-04
400           	4.637603e-04
420           	4.709181e-04
440           	4.679419e-04
460           	4.619492e-04
480           	4.551625e-04
500           	4.491657e-04
520           	4.450267e-04
540           	4.435149e-04
560           	4.452553e-04
580           	4.481660e-04
600           	4.520779e-04
620           	4.563943e-04
640           	4.610776e-04
660           	4.657941e-04
680           	4.706214e-04
700           	4.754052e-04
720           	4.802546e-04
740           	4.850869e-04
760           	4.896797e-04
780           	4.943789e-04
800           	4.992378e-04
820           	5.043460e-04
840           	5.098552e-04
860           	5.159288e-04
880           	5.223344e-04
900           	5.288842e-04
920           	5.349465e-04
940           	5.404004e-04
960           	5.457282e-04
980           	5.506652e-04
1000          	5.555325e-04
1020          	5.600595e-04
