# Region      : cellZone cz_solid_78
# Cells       : 1900
# Volume      : 2.144566e-03
# Time        	volIntegrate(U)
1020          	(-6.182876e-10 7.691418e-08 1.548946e-10)
1040          	(-6.106477e-10 7.786910e-08 1.475582e-10)
1060          	(-6.060970e-10 7.881283e-08 1.427050e-10)
1080          	(-6.031939e-10 7.974850e-08 1.394117e-10)
1100          	(-6.009433e-10 8.067819e-08 1.370451e-10)
1120          	(-5.989552e-10 8.160341e-08 1.353242e-10)
1140          	(-5.973063e-10 8.252507e-08 1.340136e-10)
1160          	(-5.959708e-10 8.344412e-08 1.330254e-10)
1180          	(-5.949012e-10 8.436121e-08 1.323138e-10)
1200          	(-5.939949e-10 8.527701e-08 1.318203e-10)
1220          	(-5.932306e-10 8.619204e-08 1.314925e-10)
1240          	(-5.925850e-10 8.710647e-08 1.313152e-10)
1260          	(-5.920297e-10 8.802078e-08 1.312394e-10)
